gid,__gid,lbl,val,geom,age0_200,age65_,age_65,grid_centroid,myo_dist,non_dist,bat_dist,fr_etc_area,fr_chim_area,fr_whal_area,fr_hon_area,fr_juk_area,trail_cnt,trail_length,trail_name,trail_close,avg_altitude,mun_dist,mun_cnt,mun_kuk_dist,mun_bo_dist,mun_etc_dist,wthr_index,wthr_sttn_no,wthr_sttn_nm,wthr_sttn_dist,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,humi_jan,humi_feb,humi_mar,humi_apr,humi_may,humi_jun,humi_jul,humi_aug,humi_sep,humi_oct,humi_nov,humi_dec,wind_jan,wind_feb,wind_mar,wind_apr,wind_may,wind_jun,wind_jul,wind_aug,wind_sep,wind_oct,wind_nov,wind_dec,efhumi_jan,efhumi_feb,efhumi_mar,efhumi_apr,efhumi_may,efhumi_jun,efhumi_jul,efhumi_aug,efhumi_sep,efhumi_oct,efhumi_nov,efhumi_dec,cctv_view_dist,cctv_close_dist,tower_dist,choso_dist,inter_time,inter_time_min,inter_time_sum,ff_cnt,ff_damage_area,ff_cause,ff_month
542,다라4669,279,279,01060000203B140000010000000103000000010000000500000000000000A0DE2C41000000008877394100000000A0DE2C4100000000707B39410000000070E62C4100000000707B39410000000070E62C41000000008877394100000000A0DE2C410000000088773941,279,111,168,01010000203B1400000000000088E22C41000000007C793941,393.5498598,427.6464658,252.4055058,8902.050296,286262.3187,112563.5554,19766.19907,8677.031376,,,,,71.052,1549.121345,0,19812.69207,9617.780218,1549.121345,2,,도곡면,1373.160245,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,72.41,67.93,66.25,62.43,68.22,75.13,80.93,80.15,80.74,77.95,70.82,70.73,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,60.16,56.88,54.73,52.36,56.69,62.27,66.87,66.7,66.96,65.11,58.8,59.04,7895.511215,,,,1:03:00,63,63,1,0.01,쓰레기 소각,3
463,다라4759,24,24,01060000203B14000001000000010300000001000000050000000000000070E62C4100000000785039410000000070E62C4100000000605439410000000040EE2C4100000000605439410000000040EE2C4100000000785039410000000070E62C410000000078503941,24,8,16,01010000203B1400000000000058EA2C41000000006C523941,87.99264629,49.83032018,46.0695091,49052.51507,218231.4822,51226.28442,142292.2084,1431.71326,,,,,114.808,2863.745424,0,13190.19146,3884.036236,2863.745424,11,,춘양면,2625.572969,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,73.01,68.7,68.75,65.39,72.37,79.9,86.91,85.95,85.4,79.41,76.16,71.63,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,60.75,57.53,56.61,54.97,60.01,66.19,71.87,71.47,70.93,66.35,63.37,59.87,3250.452986,,,,,,,1,0.1,농부산물소각,1
372,다라5157,15,15,01060000203B140000010000000103000000010000000500000000000000B0052D4100000000A848394100000000B0052D4100000000904C394100000000800D2D4100000000904C394100000000800D2D4100000000A848394100000000B0052D4100000000A8483941,15,12,3,01010000203B1400000000000098092D41000000009C4A3941,463.3950383,79.33694912,24.59472233,24304.88676,369955.9021,69396.59138,354221.257,9092.769811,,,,,141.382,1752.846998,0,8754.465156,8137.614736,1752.846998,11,,춘양면,3803.043844,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,73.01,68.7,68.75,65.39,72.37,79.9,86.91,85.95,85.4,79.41,76.16,71.63,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,60.75,57.53,56.61,54.97,60.01,66.19,71.87,71.47,70.93,66.35,63.37,59.87,5026.092298,,,,,,,0,0,,
840,다라5981,,,01060000203B14000001000000010300000001000000050000000000000030442D410000000068A639410000000030442D410000000050AA394100000000004C2D410000000050AA394100000000004C2D410000000068A639410000000030442D410000000068A63941,0,0,0,01010000203B1400000000000018482D41000000005CA83941,684.564667,880.127708,466.9912642,75002.67937,443512.7008,74036.18912,87374.66767,20461.80308,,,,,310.881,2828.997895,0,26645.74375,8141.001671,2828.997895,8,,이서면,2660.072955,0.03,2.27,6.9,10.4,16.1,21.03,23.77,25.23,20.37,13.23,6.9,0.6,81.47,76.61,75.21,73.1,81.15,88.09,93.36,92.97,93.27,87.31,84.24,80.18,1.47,1.6,1.67,1.57,1.37,1.03,1,0.97,0.83,1,1.2,1.47,67.74,64.18,62.08,61.26,67.26,72.92,77.35,77.36,77.48,72.9,70.02,66.97,4135.188204,,,,,,,1,0.01,성묘객 실화,4
567,다라5449,,,01060000203B140000010000000103000000010000000500000000000000201D2D41000000006829394100000000201D2D4100000000502D394100000000F0242D4100000000502D394100000000F0242D41000000006829394100000000201D2D410000000068293941,0,0,0,01010000203B1400000000000008212D41000000005C2B3941,340.8889988,205.3254148,303.0753736,6124.540477,331344.8252,541295.7158,75946.65078,16887.06848,,,,,296.53,4446.397299,0,7567.681053,7567.681053,4446.397299,10,,청풍면,6044.223899,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,72,68.1,69.83,65.91,72.38,80.87,87.57,86.63,85.92,78.37,76.16,71.65,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,59.85,57,57.46,55.51,60.01,66.8,72.54,72.05,71.33,65.58,63.36,59.9,8524.736058,,,,,,,0,0,,
678,다라5749,,,01060000203B14000001000000010300000001000000050000000000000090342D4100000000682939410000000090342D4100000000502D394100000000603C2D4100000000502D394100000000603C2D4100000000682939410000000090342D410000000068293941,0,0,0,01010000203B1400000000000078382D41000000005C2B3941,1060.88598,228.462032,369.2173875,2742.30288,220688.894,710581.579,60193.74984,,,,,,343.231,3034.982843,0,5847.6429,5847.6429,3034.982843,9,,이양면,5760.040824,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,73,68.73,68.85,65.54,72.74,80.59,87.28,86.25,85.92,79.44,76.16,71.73,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,60.76,57.54,56.7,55.09,60.32,66.73,72.16,71.77,71.35,66.37,63.37,59.93,11204.00283,,,,,,,0,0,,
75,다라5770,326,326,01060000203B14000001000000010300000001000000050000000000000090342D4100000000707B39410000000090342D4100000000587F394100000000603C2D4100000000587F394100000000603C2D4100000000707B39410000000090342D4100000000707B3941,326,135,191,01010000203B1400000000000078382D4100000000647D3941,641.6098765,118.1607701,107.4832866,11567.19711,365852.9182,59870.50544,55313.64183,6200.602613,,,,,111.162,603.433014,1,15818.40426,7539.413171,603.433014,4,,동면,1626.10136,1.67,3.97,8.43,12.13,17.8,22.37,24.73,26.3,21.8,15.2,9.07,2.47,81.47,76.6,75.21,73.1,81.15,88.13,93.36,92.97,93.27,87.11,84.24,80.18,1.93,2.3,2.37,2.4,2.27,1.77,1.73,1.67,1.73,1.53,1.8,1.93,67.74,64.17,62.08,61.26,67.26,72.96,77.35,77.36,77.48,72.73,70.02,66.97,3453.208953,,,,,,,0,0,,
739,다라4661,,,01060000203B140000010000000103000000010000000500000000000000A0DE2C41000000004858394100000000A0DE2C4100000000305C39410000000070E62C4100000000305C39410000000070E62C41000000004858394100000000A0DE2C410000000048583941,0,0,0,01010000203B1400000000000088E22C41000000003C5A3941,409.212399,149.2625903,187.0913657,32678.07738,281046.0409,170091.9475,356030.0737,9627.680885,,,,,152.683,1331.076361,0,14907.94327,3500.675248,1331.076361,11,,춘양면,3299.783497,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,73.01,68.7,68.75,65.39,72.37,79.9,86.91,85.95,85.4,79.41,76.16,71.63,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,60.75,57.53,56.61,54.97,60.01,66.19,71.87,71.47,70.93,66.35,63.37,59.87,5124.694593,,,,0:55:00,55,55,1,0.2,쓰레기소각,2
655,다라5863,,,01060000203B140000010000000103000000010000000500000000000000603C2D41000000001860394100000000603C2D4100000000006439410000000030442D4100000000006439410000000030442D41000000001860394100000000603C2D410000000018603941,0,0,0,01010000203B1400000000000048402D41000000000C623941,1315.259616,750.1004538,634.0434214,2665.525017,387739.5159,453026.5419,155755.2113,611.5041694,1,1346.345583,태악산노인봉성재봉,N,362.937,4158.902893,0,8747.645114,8747.645114,4158.902893,12,,한천면,1237.290178,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,72.9,68.68,69.31,65.81,73.39,80.65,86.87,86.03,85.98,79.67,76.73,71.97,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,60.7,57.51,57.06,55.32,60.82,66.76,71.88,71.59,71.41,66.57,63.82,60.11,3759.900589,,,,,,,0,0,,
404,다라5062,159,159,01060000203B140000010000000103000000010000000500000000000000E0FD2C4100000000305C394100000000E0FD2C41000000001860394100000000B0052D41000000001860394100000000B0052D4100000000305C394100000000E0FD2C4100000000305C3941,159,68,91,01010000203B14000000000000C8012D4100000000245E3941,371.7523401,37.93998668,66.61175736,1113.148729,67472.58514,63123.99692,24778.50976,12153.72972,,,,,60.951,1667.469885,0,12073.4121,7503.016777,1667.469885,11,,춘양면,1797.973898,1.6,3.83,8.2,11.67,17.33,22.03,24.33,25.65,21.5,14.77,8.85,1.75,73.01,68.7,68.75,65.39,72.37,79.9,86.91,85.95,85.4,79.41,76.16,71.63,1.6,1.8,1.83,1.8,1.7,1.43,1.3,1.3,1.23,1.2,1.65,1.65,60.75,57.53,56.61,54.97,60.01,66.19,71.87,71.47,70.93,66.35,63.37,59.87,4092.853228,,,,1:00:00,60,60,1,0,밭 소각추정,3
